"Nombre","SKU","Código","Categoría","Marca","Costo","Precio Venta","Stock"
"Buzo chomba rústico rayado - Amarillo","0009-3","","Buzos","The Maker","16000.00","28000.00","0"
"Buzo chomba rústico rayado - Verde","0009-4","","Buzos","The Maker","16000.00","28000.00","1"
"Cafayate - Baggy desflecado jean nevado - 42","0121-1","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Camisa Cuerina Cropped - L","0067-1","","Camisas","Merci","13600.00","23800.00","1"
"Camisa Musso agujeros - M","0031-1","","Camisas","LSKMAN","16900.00","29575.00","1"
"Camisa Musso agujeros - L","0031-2","","Camisas","LSKMAN","16900.00","29575.00","1"
"Camisa N-700 - M","0237-1","","Camisas","Mouk","25000.00","43750.00","1"
"Campera BUNBY c lentejuelas - M","0132-1","","Camperas","Rumba","35000.00","61250.00","1"
"Campera Tatum Jean - S","0176-1","","Camperas","LSK","32900.00","57575.00","1"
"Catamarca - Bermuda con rotura jean - 38","0127-1","","Pantalones","CC Jeans","9900.00","17325.00","1"
"CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO - 36","0282-1","","Bermudas","CC Jeans","21000.00","36750.00","1"
"CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO - 38","0282-2","","Bermudas","CC Jeans","21000.00","36750.00","1"
"CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO - 40","0282-3","","Bermudas","CC Jeans","21000.00","36750.00","1"
"CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO - 42","0282-4","","Bermudas","CC Jeans","21000.00","36750.00","1"
"CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO - 44","0282-5","","Bermudas","CC Jeans","21000.00","36750.00","1"
"Chaco - Bermuda baggy cargo con recorte - 38","0130-1","","Pantalones","CC Jeans","19000.00","33250.00","1"
"Chaleco DUNCAN - M","0177-1","","Chalecos","LSK","29900.00","52325.00","1"
"Chaleco DUNCAN - S","0177-2","","Chalecos","LSK","29900.00","52325.00","1"
"Chaleco Felix - S","0178-1","","Chalecos","LSK","26900.00","47075.00","0"
"Chaqueta BRIE gabardina print - M","0133-1","","Camperas","Rumba","44859.20","78503.60","1"
"Chaqueta ROCKVILLE","0191","","Camperas","LSK","24900.00","43575.00","1"
"Chomba J-1035 - S","0245-1","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba J-1035 - L","0245-2","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba J-1036 - S","0244-1","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba J-1036 - L","0244-2","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba jp-01 - M","0243-1","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba jp-01 - L","0243-2","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba Jp-06 over - S","0246-1","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba Jp-06 over - M","0246-2","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba Jp-06 over - L","0246-3","","Chombas","Mouk","20000.00","35000.00","1"
"Chomba pupera rayas anchas","0020","","Chombas","The Maker","9500.00","16625.00","1"
"Chomba pupera rayas finitas - Negro","0019-1","","Chombas","The Maker","9500.00","16625.00","1"
"Chomba pupera rayas finitas - Chocolate","0019-2","","Chombas","The Maker","9500.00","16625.00","1"
"Chomba tejida con cierre Philo - M","0039-1","","Chombas","LSKMAN","14900.00","26075.00","1"
"Cinto caderin circulitos y tiras","0046","","Cinturones","Pupé","5800.00","10150.00","1"
"Cinto caderin ovalo chico con tiras - Negro","0045-1","","Cinturones","Pupé","5300.00","9275.00","1"
"Cinto caderin ovalo chico con tiras - Blanco","0045-2","","Cinturones","Pupé","5300.00","9275.00","1"
"Cinto de tachitas enlazadas importado","0049","","Cinturones","Pupé","6000.00","10500.00","1"
"Cinto elastizado de fiesta con dije lazo - Gris","0050-1","","Cinturones","Pupé","3600.00","6300.00","1"
"Cinto elastizado de fiesta con dije lazo - Dorado","0050-2","","Cinturones","Pupé","3600.00","6300.00","1"
"Cinto faja en punta animal print","0048","","Cinturones","Pupé","5400.00","9450.00","1"
"Cinto media luna multitachas","0047","","Cinturones","Pupé","8500.00","14875.00","1"
"cinturón animal print importado","0043","","Cinturones","Pupé","9000.00","15750.00","1"
"Cinturón de rafia con hebilla metálica importada - Beige","0042-1","","Cinturones","Pupé","6600.00","11550.00","1"
"Cinturón de rafia con hebilla metálica importada - Chocolate","0042-2","","Cinturones","Pupé","6600.00","11550.00","1"
"Cinturon elastizado de fiesta con hebilla metálica - Negro","0040-1","","Cinturones","Pupé","3600.00","6300.00","1"
"Cinturon elastizado de fiesta con hebilla metálica - Blanco","0040-2","","Cinturones","Pupé","3600.00","6300.00","1"
"Cinturon elastizado de fiesta con hebilla metálica - Beige","0040-3","","Cinturones","Pupé","3600.00","6300.00","1"
"Cinturón elastizado de monedas importado - Dorado","0041-1","","Cinturones","Pupé","7900.00","13825.00","1"
"Cinturón importado con hebilla irregular - Negro","0051-1","","Cinturones","Pupé","8000.00","14000.00","1"
"Cinturón importado con hebilla irregular - Beige","0051-2","","Cinturones","Pupé","8000.00","14000.00","0"
"Conjunto ACHEROTIA Lino c bordado - M","0134-1","","Conjuntos","Rumba","45000.00","78750.00","1"
"Conjunto bambula - S","0011-1","","Conjuntos","The Maker","12000.00","21000.00","1"
"Conjunto bambula - M","0011-2","","Conjuntos","The Maker","12000.00","21000.00","1"
"Conjunto bambula - L","0011-3","","Conjuntos","The Maker","12000.00","21000.00","1"
"Conjunto KAMIRA lino - M","0162-1","","Remeras","Rumba","30000.00","52500.00","1"
"Conjunto KAMIRA lino - XL","0162-2","","Remeras","Rumba","30000.00","52500.00","1"
"Conjunto Palazzo y Puperon morley rayas finitas - M","0277-1","","Conjuntos","The Maker","18000.00","31500.00","2"
"Conjunto Palazzo y Puperon morley rayas finitas - L","0277-2","","Conjuntos","The Maker","18000.00","31500.00","1"
"Conjunto Palazzo y Remeron Rayas Anchas - M","0010-1","","Conjuntos","The Maker","18000.00","31500.00","1"
"Conjunto Short y Puperon Rayado Finito - M","0013-1","","Conjuntos","The Maker","15000.00","26250.00","1"
"Conjunto Short y Puperon Rayado Finito - L","0013-2","","Conjuntos","The Maker","15000.00","26250.00","0"
"Conjunto texturas - M","0032-1","","Conjuntos","LSKMAN","19900.00","34825.00","1"
"Conjunto texturas - L","0032-2","","Conjuntos","LSKMAN","19900.00","34825.00","1"
"Curazao - Bermuda blanca con rotura - 38","0278-1","","Bermudas","CC Jeans","16000.00","28000.00","1"
"Curazao - Bermuda blanca con rotura - 40","0278-2","","Bermudas","CC Jeans","16000.00","28000.00","1"
"Curazao - Bermuda blanca con rotura - 42","0278-3","","Bermudas","CC Jeans","16000.00","28000.00","0"
"Ezeiza - Bermuda carpintera estampada - 40","0129-1","","Pantalones","CC Jeans","20000.00","35000.00","1"
"Ezeiza - Bermuda carpintera estampada - 42","0129-2","","Pantalones","CC Jeans","20000.00","35000.00","1"
"Faja circular calada con chapones y ojales","0044","","Cinturones","Pupé","17500.00","30625.00","1"
"La Plata - Bermuda baggy estampada - 38","0128-1","","Pantalones","CC Jeans","19000.00","33250.00","1"
"La Plata - Bermuda baggy estampada - 40","0128-2","","Pantalones","CC Jeans","19000.00","33250.00","1"
"La Plata - Bermuda baggy estampada - 42","0128-3","","Pantalones","CC Jeans","19000.00","33250.00","1"
"Malla JR-25512 - S","0239-1","","Mallas","Mouk","15000.00","26250.00","1"
"Malla JR-25512 - M","0239-2","","Mallas","Mouk","15000.00","26250.00","1"
"Malla JR-25512 - L","0239-3","","Mallas","Mouk","15000.00","26250.00","1"
"Malla JR-25512 - XL","0239-4","","Mallas","Mouk","15000.00","26250.00","0"
"Malla JR-25513 - S","0238-1","","Mallas","Mouk","15000.00","26250.00","1"
"Malla JR-25513 - M","0238-2","","Mallas","Mouk","15000.00","26250.00","1"
